PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://kroam.xyz/leagues/ligue1/stade-brestois-29-vs-toulouse-2026-01-25,Stade Brestois 29 0-2 Toulouse | Kroam,text/html; charset=utf-8,false,200,,739,<truncated>,3885,1209711218041632544,0,true
20,https://kroam.xyz/leagues/bundesliga/1-fc-kln-vs-vfl-wolfsburg-2026-01-30,1. FC Köln 1-0 VfL Wolfsburg | Kroam,text/html; charset=utf-8,false,200,,727,<truncated>,3804,2161038544467197973,0,true
20,https://kroam.xyz/leagues/epl/aston-villa-vs-brentford-2026-02-01,Aston Villa 0-1 Brentford | Kroam,text/html; charset=utf-8,false,200,,709,<truncated>,3762,32151998857103911,0,true
20,https://kroam.xyz/leagues/ucl/psv-eindhoven-vs-bayern-mnchen-2026-01-28,PSV Eindhoven 1-2 Bayern München | Kroam,text/html; charset=utf-8,false,200,,705,<truncated>,3783,14268834348698231337,0,true
20,https://kroam.xyz/leagues/uel/maccabi-tel-aviv-vs-bologna-2026-01-29,Maccabi Tel Aviv 0-3 Bologna | Kroam,text/html; charset=utf-8,false,200,,761,<truncated>,4008,17924468111166433185,0,true
20,https://kroam.xyz/leagues/uel/go-ahead-eagles-vs-sc-braga-2026-01-29,GO Ahead Eagles 0-0 SC Braga | Kroam,text/html; charset=utf-8,false,200,,733,<truncated>,3808,17362405958688118689,0,true
20,https://kroam.xyz/leagues/seriea/genoa-vs-bologna-2026-01-25,Genoa 3-2 Bologna | Kroam,text/html; charset=utf-8,false,200,,737,<truncated>,3854,233327237118245301,0,true
20,https://kroam.xyz/leagues/uel/sturm-graz-vs-brann-2026-01-29,Sturm Graz 1-0 Brann | Kroam,text/html; charset=utf-8,false,200,,715,<truncated>,3742,16689838231515386027,0,true
20,https://kroam.xyz/leagues/uel/real-betis-vs-feyenoord-2026-01-29,Real Betis 2-1 Feyenoord | Kroam,text/html; charset=utf-8,false,200,,657,<truncated>,3489,15704081476912167790,0,true
20,https://kroam.xyz/leagues/eredivisie/heerenveen-vs-utrecht-2026-02-01,Heerenveen 1-1 Utrecht | Kroam,text/html; charset=utf-8,false,200,,729,<truncated>,3896,15553892755955708246,0,true
20,https://kroam.xyz/leagues/superlig/fatih-karagmrk-vs-galatasaray-2026-01-24,Fatih Karagümrük 1-3 Galatasaray | Kroam,text/html; charset=utf-8,false,200,,695,<truncated>,3767,16070101993504209690,0,true
20,https://kroam.xyz/leagues/ucl/atletico-madrid-vs-bodoglimt-2026-01-28,Atletico 1-2 Bodo/Glimt | Kroam,text/html; charset=utf-8,false,200,,714,<truncated>,3847,3264591424882892656,0,true
20,https://kroam.xyz/leagues/ucl/ajax-vs-olympiakos-piraeus-2026-01-28,Ajax 1-2 Olympiakos Piraeus | Kroam,text/html; charset=utf-8,false,200,,731,<truncated>,3901,17341532172869778279,0,true
20,https://kroam.xyz/leagues/superlig/gztepe-vs-fatih-karagmrk-2026-01-31,Göztepe 2-1 Fatih Karagümrük | Kroam,text/html; charset=utf-8,false,200,,749,<truncated>,4020,17293116039045904847,0,true
20,https://kroam.xyz/leagues/superlig/fenerbahe-vs-gztepe-2026-01-25,Fenerbahçe 1-1 Göztepe | Kroam,text/html; charset=utf-8,false,200,,741,<truncated>,3964,309904658039070519,0,true
20,https://kroam.xyz/leagues/uel/vfb-stuttgart-vs-bsc-young-boys-2026-01-29,VfB Stuttgart 3-2 BSC Young Boys | Kroam,text/html; charset=utf-8,false,200,,769,<truncated>,4030,3254657883825163945,0,true
